,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
ARCHIVE - Wardens Premises - 31 Crescent Grange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 32 Church Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 33 Reginald Terrace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 35 Victoria Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 36 Lyndon Avenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 36 York Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 37 Belle Isle Circus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 38 Oak Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 4 Cranmore Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 4 Durrant Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 4 The Pleasance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 40 Marsden Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 40 Myers Croft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 43 Main Street,543,384,159,100.43871,668.36,431,237.36,123.6835156,518.73,282.01,236.72,95.7970209,-67.78,-67.78,0,-12.4742312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 45 The Crescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 46 Wood Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 48 Grove Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 5 Albert Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 5 The Pleasance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 51 Eliot Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 56 Alexandra Road,"8,156","5,418","2,738","1,509","7,277","4,014","3,263","1,347","10,858","6,326","4,532","2,006","12,238","7,602","4,635","2,257","2,175","2,175",0,402.3625248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 6 Albert Square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 63 Lumley Avenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 64 Carrfield Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 7 Greenhow Gardens,"15,298","7,725","7,573","2,830","11,061","4,686","6,375","2,047","-3,376","-3,376",0,-625.306002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 72 Leeds Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 8 Rhodes House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - 9 Royal Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - Flat 1 Ramsgate Crescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - Flat 1 Stoney Rock Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - Ingle Nook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Wardens Premises - Royds Court Sheltered Housing,"5,821","2,701","3,120","1,077","5,128","2,985","2,143",949.077522,"7,438","4,790","2,648","1,374","6,606","4,240","2,365","1,218","11,118","7,200","3,918","2,055","7,718","4,113","3,605","1,422","4,191","4,191",0,771.1453847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Youth Centre - Gildersome Youth Centre,"173,565","85,947","87,618","32,104","177,269","100,226","77,043","32,808","199,667","129,299","70,369","36,898","205,873","129,694","76,179","37,960","187,105","108,135","78,971","34,568","172,026","109,374","62,651","31,702","104,831","98,716","6,115","19,290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Youth Centre - Holbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Youth Centre - Hunslet Lake Cafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Youth Centre - Stanhope Drive Youth Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Youth Centre - The Palace Youth Project,"52,101","32,358","19,743","9,637","45,972","27,356","18,616","8,508","84,479","60,140","24,338","15,618","53,189","28,700","24,488","9,812","-9,205","-9,205",-0.01,"-1,703",-0.05,-0.05,0,-0.0092225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Youth Centre - William Gascoigne,"69,616","43,226","26,390","12,877","101,624","70,025","31,599","18,805","86,478","47,844","38,634","15,971","53,035","30,211","22,824","9,782","7,833","7,833",0,"1,449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - 136 Tynwald Drive,"31,492","20,485","11,007","5,825","34,860","22,001","12,859","6,451","36,445","22,591","13,855","6,734","30,601","17,600","13,002","5,644","31,672","18,638","13,034","5,852","35,791","22,347","13,444","6,595","40,958","24,748","16,209","7,539","32,239","14,315","17,924","5,934","40,355","24,101","16,254","7,416","38,222","22,413","15,808","7,020","36,788","19,626","17,162","6,752","37,682","21,878","15,804","6,892","30,147","19,542","10,605","5,507","27,813","16,286","11,527","5,088","30,932","18,358","12,574","5,658",29703.15,17562.52,12140.63,5434.488324
Care Home - 15 Norman Place,"16,315","7,010","9,305","3,018","16,275","12,525","3,750","3,011","28,585","16,944","11,641","5,281","26,865","18,515","8,350","4,952","23,444","14,270","9,174","4,332","22,578","14,893","7,685","4,161","23,718","14,479","9,238","4,366","20,199","9,946","10,254","3,718","20,193","11,172","9,021","3,711","21,828","12,551","9,277","4,009","19,681","12,759","6,922","3,614","12,448","5,280","7,168","2,276","20,606","11,267","9,338","3,765","11,193","11,193",0,"2,048",0,0,0,0,0,0,0,0
Care Home - Aspire - 164 - 166 Brooklands Avenue,"52,000","27,232","24,768","9,618","51,591","28,362","23,229","9,548","62,127","37,210","24,917","11,477","56,310","36,729","19,581","10,381","45,912","25,554","20,358","8,482","38,473","21,098","17,375","7,088","54,692","32,118","22,573","10,067","38,804","20,508","18,296","7,143","61,717","40,877","20,840","11,344","53,050","30,923","22,126","9,743","57,082","34,255","22,827","10,480","49,272","30,409","18,863","9,013","40,980","22,901","18,079","7,487","41,007","21,987","19,020","7,501","46,787","26,450","20,337","8,559",42376.94,23389.79,18987.15,7753.284942
Care Home - Aspire - 174 Brooklands Avenue,"37,708","12,170","25,538","6,975","42,923","26,409","16,514","7,943","46,847","25,601","21,247","8,652","43,455","27,282","16,173","8,013","43,199","29,363","13,836","7,983","36,280","25,799","10,481","6,687","32,458","20,227","12,231","5,974","33,259","16,419","16,840","6,122","33,192","19,549","13,643","6,100","33,010","18,999","14,011","6,063","32,019","17,076","14,943","5,877","39,110","21,702","17,408","7,153","29,506","17,025","12,482","5,391","28,988","14,917","14,071","5,302","31,698","18,163","13,534","5,798",26771.41,16009.19,10762.22,4898.097174
Care Home - Aspire - 2 Cross Heath Grove,"45,150","23,363","21,787","8,351","25,271","16,763","8,508","4,676","45,493","21,188","24,305","8,397","51,883","33,775","18,108","9,565","44,673","26,655","18,019","8,254","48,199","30,570","17,629","8,882","52,009","28,957","23,052","9,573","44,270","21,877","22,393","8,148","51,559","31,834","19,724","9,476","69,333","27,427","41,906","12,738","72,570","44,278","28,292","13,323","48,276","30,487","17,789","8,831","50,854","31,003","19,851","9,291","51,739","30,943","20,796","9,464","57,817","35,944","21,874","10,576",54653.43,33848.38,20805.05,9999.391553
Care Home - Aspire - 4 Zoar Street,"84,678","41,454","43,224","15,663","3,935","-12,379","16,314",731.7704579,"48,816","27,632","21,183","9,016","37,020","16,051","20,970","6,833","-27,196","-28,056",860.02,"-5,031","1,673",996.99,675.95,308.2674547,"1,567",895.44,671.33,288.3929217,"76,792","22,157","54,635","14,131","60,772","44,986","15,785","11,172","56,098","51,675","4,424","10,296","24,623","7,795","16,828","4,515","42,664","39,561","3,102","7,812","21,915","9,099","12,816","4,005","31,877","18,874","13,003","5,831","28,345","19,026","9,319","5,185",27820.81,12464.73,15356.08,5090.095398
Care Home - Aspire - Roos Court,"17,976","10,541","7,435","3,325","24,069","9,994","14,075","4,455","34,420","21,247","13,173","6,360","31,140","19,281","11,859","5,742","27,532","15,778","11,753","5,086","29,470","15,437","14,033","5,429","25,112","16,471","8,641","4,622","26,429","12,342","14,087","4,864","27,717","16,362","11,356","5,094","26,175","14,514","11,660","4,808","32,972","16,174","16,797","6,051","30,155","18,638","11,517","5,516","28,321","14,863","13,457","5,175","30,185","16,596","13,590","5,521","26,753","16,053","10,699","4,894",24978.98,14206.05,10772.93,4570.154181
Care Home - Burley Willows Home for Older People,"635,499","428,204","207,295","117,548","614,940","400,163","214,777","113,797","643,373","433,272","210,101","118,913","589,358","414,312","175,046","108,629","-43,742","-43,742",0,"-8,091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Dolphin Manor Home for Older People,"18,408","9,974","8,434","3,405","20,189","13,727","6,462","3,736","20,364","10,889","9,475","3,760","11,609","6,079","5,530","2,142","15,173","8,612","6,562","2,803","17,084","11,709","5,375","3,149","13,123","6,825","6,297","2,416","14,893","7,865","7,027","2,741","18,766","13,770","4,996","3,450","503,681","322,199","181,482","92,496","677,887","482,861","195,026","124,505","622,777","437,155","185,622","113,953","547,231","377,535","169,696","99,958","513,183","326,634","186,550","93,871","556,922","378,067","178,855","101,872",512717.29,343555.85,169161.44,93806.75538
Care Home - Home Lea House Home for Older People,"450,643","298,130","152,513","83,355","403,634","261,500","142,134","74,694","469,855","294,479","175,376","86,817","475,652","324,799","150,854","87,680","454,408","296,353","158,055","83,971","455,326","300,095","155,231","83,915","482,552","319,712","162,840","88,815","456,559","273,267","183,293","84,044","508,111","333,442","174,670","93,394","517,667","340,861","176,807","95,061","468,423","334,004","134,419","86,034","340,333","340,333",0,"62,335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Knowle Manor Home for Older People,"500,393","341,020","159,373","92,558","490,129","324,009","166,120","90,699","547,928","370,447","177,481","101,274","531,177","365,387","165,790","97,912","531,576","363,580","167,996","98,239","553,575","374,976","178,599","102,026","511,222","355,517","155,705","94,089","458,580","290,244","168,336","84,420","496,925","343,016","153,909","91,345","496,248","338,190","158,058","91,123","491,756","337,372","154,384","90,310","416,163","285,861","130,303","76,144","268,963","143,420","125,542","49,145","175,357","112,824","62,534","32,076","26,002","26,002",0,"4,756",0,0,0,0
Care Home - Manorfield Home for Older People,"457,493","301,726","155,767","84,622","416,288","273,809","142,479","77,035","455,421","307,705","147,716","84,176","453,730","293,347","160,383","83,654","454,030","303,872","150,157","83,905","432,334","290,557","141,778","79,680","336,293","266,889","69,404","61,888","24,838","24,838",0,"4,574",0,0,0,0,0,0,0,0,"-1,288",-643.13,-644.74,-236.3428915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Middlecross Home for Older People,"734,415","491,248","243,167","135,845","656,264","421,581","234,683","121,445","743,615","479,721","263,893","137,416","686,828","464,964","221,865","126,611","714,762","438,186","276,576","132,067","782,141","512,866","269,274","144,144","764,306","515,760","248,546","140,671","118,848","118,837",11.32,"21,888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Primrose Hill Home for Older People,"474,601","309,385","165,216","87,787","637,265","462,563","174,702","117,917","556,420","392,661","163,759","102,863","538,356","391,727","146,629","99,216","449,598","296,467","153,132","83,083","11,104","11,104",0,"2,048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Richmond House Home For Older People,"534,121","350,742","183,379","98,796","513,412","334,829","178,583","95,009","553,557","352,853","200,704","102,289","497,400","333,962","163,438","91,694","491,858","313,956","177,902","90,887","439,355","309,208","130,148","80,980","432,065","285,595","146,470","79,523","402,046","233,546","168,500","74,008","483,833","317,928","165,905","88,931","473,336","316,999","156,337","86,918","480,230","321,614","158,615","88,187","254,880","254,880",0,"46,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Siegen Manor Home for Older People,"583,354","378,430","204,924","107,903","559,194","383,012","176,182","103,476","579,730","392,420","187,310","107,153","547,993","382,470","165,523","101,007","551,358","357,401","193,957","101,885","543,198","371,519","171,679","100,115","518,947","368,970","149,977","95,510","96,344","96,248",95.87,"17,743",159.81,63.78,96.03,29.3554341,63.94,63.94,0,11.7336294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Home - Spring Gardens Home for Older People,"608,700","412,232","196,468","112,591","573,671","380,019","193,652","106,158","632,778","429,423","203,355","116,959","517,915","344,077","173,838","95,479","485,571","303,466","182,105","89,722","533,466","340,055","193,411","98,310","529,348","352,693","176,655","97,428","480,041","281,893","198,148","88,366","480,053","311,768","168,285","88,235","442,782","282,633","160,149","81,313","483,491","299,493","183,999","88,769","418,952","287,163","131,789","76,654","332,396","207,225","125,172","60,724","171,113","138,539","32,574","31,301","133,995","72,608","61,386","24,511",125979.43,70018.32,55961.11,23049.19651
Care Home - Wellstone Drive,"75,856","49,104","26,752","14,031","69,641","43,127","26,514","12,888","69,925","44,866","25,059","12,921","59,596","37,003","22,593","10,989","57,405","32,953","24,451","10,606","57,699","33,733","23,966","10,632","57,084","33,475","23,610","10,507","49,605","22,980","26,624","9,130","52,278","31,936","20,342","9,608","47,698","28,028","19,670","8,760","55,313","25,775","29,538","10,149","46,539","27,013","19,526","8,512","42,311","22,577","19,734","7,731","46,496","27,326","19,170","8,505","48,247","26,554","21,693","8,826",48327.41,28000.13,20327.28,8841.982934
Cemetery - Hunslet,"-1,432",-500,-932,-264.87704,"5,196","3,213","1,983",961.5374417,"11,931","2,429","9,502","2,199","10,681","4,798","5,883","1,971","6,519","3,845","2,674","1,204","11,760","4,792","6,968","2,166","16,343","6,333","10,009","3,009","16,363","10,645","5,718","3,012","17,302","7,036","10,267","3,178","8,638","5,801","2,837","1,586","43,963","27,297","16,666","8,072","34,744","18,779","15,965","6,354","34,606","18,345","16,261","6,323","23,020","19,874","3,145","4,211","12,249","6,668","5,581","2,241",11745.72,6229.07,5516.65,2148.996931
Cemetery - Lawnswood ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90,224","50,218","40,006","16,624","148,623","97,735","50,888","27,355","120,116","64,822","55,294","22,110","125,112","72,549","52,562","22,992","143,502","93,496","50,005","26,352","149,928","95,012","54,916","27,528","135,842","82,519","53,323","24,848","142,369","88,665","53,705","26,009","143,143","88,507","54,636","26,183",142643.75,90797.66,51846.09,26092.65264,53732.14,27435.18,26296.96,9830.832334
Changing Pavilion - Bramley Bowling Pavilion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changing Pavilion - Bramley Falls Sports Changing Rooms,640,416,224,118.3808,"4,034","3,842",191.91,746.1983911,"1,787",861.97,925.19,329.9174313,"4,475","3,580",895,824.3275389,-5.67,568.74,-574.41,-0.748378774,-98.53,-66.49,-32.04,-18.15933855,"3,859",96.03,"3,763",710.7556542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,345","16,207",137.72,"2,990",0,0,0,0,11.42,11.42,0,2.0894032
Changing Pavilion - East Ardsley Recreation Ground Changing Room,"32,571","25,361","7,210","6,025","4,682","4,234",447.87,866.1129827,989.67,543.04,446.63,182.7742236,"1,023",575.34,447.55,188.6702411,"-3,585","-4,031",445.96,-663.3059623,"2,735","1,383","1,352",503.8083011,"3,293","1,919","1,375",606.1589099,"20,153","18,620","1,533","3,711","3,254","1,878","1,376",597.9739608,"3,343","1,926","1,417",614.0447235,"3,415","1,934","1,482",626.9450594,"2,481","1,964",517.07,454.1103662,452.16,452.16,0,82.5372864,421.03,64.58,356.45,77.00825505,"3,320","1,804","1,516",607,3162.28,1678.24,1484.04,578.5707488
Changing Pavilion - East End Park Football Changing Pavilion,"10,098","8,837","1,261","1,868","3,820","-3,155","6,975",708.2945899,"6,727","2,580","4,147","1,241","7,192","7,150",42.53,"1,324",-747.52,-849.6,102.08,-138.3244073,"4,975",-325.82,"5,301",915.2953937,"4,763","2,334","2,428",876.7386553,"6,360","3,102","3,258","1,171","9,463","6,072","3,391","1,739","19,870","4,719","15,151","3,652","12,598","6,317","6,280","2,312","48,658","45,491","3,167","8,910","8,458","2,358","6,100","1,546","30,576","18,740","11,835","5,593","29,602","17,793","11,809","5,415",10548.93,9613.28,935.65,1930.032233
Changing Pavilion - Hunslet Parkside Changing Rooms,"19,561","19,561",0,"3,618","46,915","37,025","9,890","8,680","17,246","7,325","9,920","3,182","23,888","14,083","9,804","4,405","20,671","10,902","9,770","3,819","4,766","13,434","-8,668",883.0609622,"9,710","9,247",463.05,"1,787","11,837","6,589","5,248","2,179","15,832","6,479","9,353","2,908","11,371","6,545","4,826","2,088","12,092","6,948","5,144","2,220","11,323","6,576","4,747","2,071","10,711","5,852","4,859","1,957","11,048","6,315","4,732","2,021","20,935","15,839","5,095","3,829",10752.28,5713.62,5038.66,1967.237149
Changing Pavilion - Millshaw Changing Rooms,0,0,0,0,"5,202",0,"5,202",963.4105612,"15,592","10,397","5,196","2,882","1,694",993.22,700.32,312.3325023,"1,690",992.38,697.85,312.2819412,"19,627","12,507","7,120","3,617","17,544","10,394","7,150","3,229","11,466","6,170","5,296","2,110","16,447","9,360","7,087","3,022","16,767","9,494","7,273","3,080","1,714","1,634",79.74,315.0064683,296.28,204.92,91.36,54.2100016,296.27,171.17,125.1,54.12978046,"1,854",228.16,"1,626",339.0702778,"14,846","9,311","5,536","2,716",11300.18,3719.39,7580.79,2067.480933
Changing Pavilion - New Wortley Recreation Ground Football Changing Rooms,"3,539","2,380","1,159",654.60883,"2,408","1,288","1,120",445.5987718,859.81,-224.85,"1,085",157.9763579,"-2,078","-2,046",-31.93,-382.4096988,0,0,0,0,0,0,0,0,0,0,0,0,"8,925","8,925",0,"1,644",0,0,0,0,0,0,0,0,"13,197","3,151","10,045","2,419","26,628","14,195","12,433","4,869","3,773","3,708",64.42,688.6754586,32.49,0,32.49,5.942421,0,0,0,0,0,0,0,0
Changing Pavilion - Ninelands Lane Football Changing Room,"30,638","19,631","11,007","5,667","22,287","13,650","8,637","4,124","16,449","12,300","4,149","3,042","22,553","13,954","8,599","4,159","24,460","16,815","7,645","4,520","44,808","31,354","13,455","8,259","26,071","18,515","7,556","4,798","31,416","13,815","17,600","5,782","37,450","21,680","15,770","6,882","39,097","23,474","15,622","7,180","11,574","11,574",0,"2,128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
