Q1. Do you work for Leeds City Council,Q5. Work Postcode,Q6. Home Postcode,Q7. From home I,Q8. For how many minutes,Q9. To (location),Q10. Then I,Q11. For how many minutes,Q12. To (location),Q13. Then I,Q14. For how many minutes,Q15. To (location),Q16. Then I,Q17. For how many minutes,Q18. To (location),Q19. Then I,Q20. For how many minutes,Q21. To (location),Q22. Then I,Q23. For how many minutes,Q24. To (location),Q25. What was the main mode of transport you used to travel to work today? (Please select the mode of transport used for the longest distance travelled),Q26. On Monday,Q27. On Tuesday,Q28. On Wednesday?,Q29. On Thursday?,Q30. On Friday?,Q31. On Saturday?,Q32. On Sunday?,Q33. How many days a week do you usually work?,"Q34. How many days a week do you commute to your workplace? (i.e. only days you will travel to work, not work from home)",Q35. If you own a car what fuel type does it use?,"Q36. If you own a petrol, diesel or hybrid vehicle what engine size does it have?",Q37. At your usual workplace does your Employer provide you with Car/Van Parking?,Q38. Where do you usually park your Car/Van when you drive to work?,Q39. How much do you pay for parking per day?,"Q40. If you no longer had access to car parking at your usual place of work, what alternatives would you consider? (Please rank each alternative by how likely you think you would be to switch to that method of travel from 1 low likelihood to 5 high likelihood)",Q41 a,Q41 b,Q41 c,Q41 d,Q41 e,Q41 f,Q41 g,Q41 h,Q41 i,Q41 j,Q40 k,Q41. How would you describe your gender?,Q42. What is your age group?,Q43. What is your employment status?
No,LS19,LS18,"Walk, wheel or run",30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run",Work from Home,"Walk, wheel or run",Car/Van Share (Driver),"Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,Plug-in Hybrid,Petrol more than 2.0L,Yes,In the workplace car park,Don't pay (free),-,-,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
No,LS19,LS19,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",-,-,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),5 high,1 low,5 high,1 low,4,4,3,4,1 low,1 low,4,3,Woman,16-24,Working full-time
No,LS19,LS19,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,-,-,Don't Know,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,Ls19,Ls19,Car/Van share (driver),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),N/A - Non working day,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,N/A - Non working day,3,3,Self-charging hybrid,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),5 high,1 low,1 low,1 low,3,1 low,-,1 low,1 low,1 low,2,-,Woman,35-44,Working part-time
No,Ls19,Hg3 ,Car/Van (Single Occupant),40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N/A - Non working day,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,3,3,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,3,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,35-44,Working part-time
No,LS1 ,LS16,"Walk, wheel or run",7,The bus stop,"Walk, wheel or run",3,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Work from Home,N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,2,1,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working part-time
No,Home,LS12,Work from Home (Full time),0,I work from home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Working full-time
No,LS17,LS7 ,"Walk, wheel or run",5,The bus stop,Bus,20,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,N/A - Non working day,Bus,Bus,Bus,Bus,Bus,N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Non-binary,16-24,Working full-time
No,LS1 ,LS5 ,"Walk, wheel or run",1,The bus stop,Bus,40,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Bus,Work from Home,Work from Home,Bus,Bus,Bus,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,M4 4,Ls15,Car/Van (Single Occupant),90,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel 1.7-2.0L,No,In a public car park,Less than £5,1 low,1 low,1 low,3,1 low,2,1 low,1 low,1 low,1 low,3,1 low,Woman,45-54,Working full-time
No,LS1 ,LS17,Car/Van share (driver),45,Car Park,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol 1.4-2.0L,No,In a public car park,Between £5-£10,1 low,4,2,-,5 high,-,-,-,-,-,3,-,Man,16-24,Apprenticeship/training
No,LS1 ,LS4 ,"Walk, wheel or run",35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,16-24,Working full-time
