Q1. Do you work for Leeds City Council,Q5. Work Postcode,Q6. Home Postcode,Q7. From home I,Q8. For how many minutes,Q9. To (location),Q10. Then I,Q11. For how many minutes,Q12. To (location),Q13. Then I,Q14. For how many minutes,Q15. To (location),Q16. Then I,Q17. For how many minutes,Q18. To (location),Q19. Then I,Q20. For how many minutes,Q21. To (location),Q22. Then I,Q23. For how many minutes,Q24. To (location),Q25. What was the main mode of transport you used to travel to work today? (Please select the mode of transport used for the longest distance travelled),Q26. On Monday,Q27. On Tuesday,Q28. On Wednesday?,Q29. On Thursday?,Q30. On Friday?,Q31. On Saturday?,Q32. On Sunday?,Q33. How many days a week do you usually work?,"Q34. How many days a week do you commute to your workplace? (i.e. only days you will travel to work, not work from home)",Q35. If you own a car what fuel type does it use?,"Q36. If you own a petrol, diesel or hybrid vehicle what engine size does it have?",Q37. At your usual workplace does your Employer provide you with Car/Van Parking?,Q38. Where do you usually park your Car/Van when you drive to work?,Q39. How much do you pay for parking per day?,"Q40. If you no longer had access to car parking at your usual place of work, what alternatives would you consider? (Please rank each alternative by how likely you think you would be to switch to that method of travel from 1 low likelihood to 5 high likelihood)",Q41 a,Q41 b,Q41 c,Q41 d,Q41 e,Q41 f,Q41 g,Q41 h,Q41 i,Q41 j,Q40 k,Q41. How would you describe your gender?,Q42. What is your age group?,Q43. What is your employment status?
No,LS21,LS16,Car/Van (Single Occupant),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Plug-in Hybrid,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,3,1 low,1 low,1 low,1 low,1 low,3,1 low,1 low,5 high,1 low,Woman,35-44,Working full-time
No,LS7 ,LS29,Car/Van (Single Occupant),60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N/A - Non working day,N/A - Non working day,Work from Home,Car/Van (Single Occupant),N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,2,1,Fully electric,-,Yes,In the workplace car park,Don't pay (free),1 low,1 low,4,1 low,1 low,1 low,1 low,1 low,1 low,1 low,5 high,1 low,Woman,55-64,Working part-time
No,LS7 ,LS26,"Walk, wheel or run",2,The bus stop,Bus,40,Leeds City Centre,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Bus,Bus,Bus,N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS11,LS4 ,"Walk, wheel or run",5,The bus stop,Bus,15,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Bus,Bus,Cycle,Bus,Cycle,Bus,N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS11,LS13,Car/Van share (driver),28,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,No,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,35-44,Working full-time
No,LS11,LS8 ,Car/Van (Single Occupant),25,The railway station,Train,6,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel up to 1.7L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS11,YO10,"Walk, wheel or run",10,The bus stop,Train,30,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working part-time
No,LS11,LS20,"Walk, wheel or run",10,The railway station,Train,15,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,2,Diesel,Diesel up to 1.7L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working part-time
No,LS11,LS8 ,"Walk, wheel or run",60,My place of work,Bus,15,-,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,"Walk, wheel or run",Cycle,Bus,"Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS11,LS27,Car/Van (Single Occupant),3,The Park & Ride,Bus,10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Park and Ride (Bus),Work from Home,Park and Ride (Bus),Park and Ride (Bus),Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel 1.7-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working full-time
No,Ls11,LS4 ,"Walk, wheel or run",10,The railway station,Train,7,The railway station,"Walk, wheel or run",8,My place of work,-,-,-,-,-,-,-,-,-,Train,Train,Train,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS11,S10 ,"Walk, wheel or run",40,The railway station,Train,60,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,LS11,LS16,"Walk, wheel or run",15,The railway station,Train,20,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Train,Work from Home,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,2,2,4,5 high,3,3,1 low,1 low,5 high,3,Woman,25-34,Working full-time
No,LS11,HX1 ,Car/Van Share (passenger),10,The railway station,Train,40,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Train,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol 1.4-2.0L,-,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,16-24,Working full-time
No,LS11,LS73,Car/Van (Single Occupant),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,2,Diesel,Diesel 1.7-2.0L,No,In another private car park,Between £5-£10,1 low,3,1 low,1 low,3,1 low,1 low,1 low,1 low,1 low,4,1 low,Man,25-34,Working full-time
No,LS11,YO31,Cycle,25,The railway station,Train,25,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Train,Train,Work from Home,N/A - Non working day,Train,Work from Home,N/A - Non working day,N/A - Non working day,4,2,Fully electric,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working part-time
No,LS12,Yo24,"Walk, wheel or run",5,The bus stop,Bus,30,The railway station,Train,25,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,Train,Train,N/A - Non working day,Train,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS11,LS13,Car/Van (Single Occupant),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,No,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,2,3,1 low,1 low,3,1 low,1 low,1 low,Woman,35-44,Working full-time
No,LS11,LS13,Car/Van (Single Occupant),18,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,5 high,Woman,35-44,Working full-time
No,LS2 ,LS12,"Walk, wheel or run",5,The bus stop,Bus,20,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Bus,N/A - Non working day,Work from Home,Bus,Bus,N/A - Non working day,N/A - Non working day,N/A - Non working day,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working part-time
No,LS16,LS10,Car/Van (Single Occupant),45,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,4,Diesel,Diesel more than 2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,2,1 low,1 low,2,1 low,1 low,5 high,1 low,Woman,35-44,Working full-time
No,LS1 ,LS7 ,"Walk, wheel or run",2,The bus stop,Bus,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Work from Home,-,-,5,3,Petrol,Petrol 1.4-2.0L,No,In another private car park,More than £10,1 low,1 low,1 low,1 low,5 high,1 low,-,3,1 low,1 low,5 high,-,Man,25-34,Working full-time
No,LS10,LS4 ,"Walk, wheel or run",60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Work from Home,Bus,Work from Home,Bus,Bus,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel 1.7-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
No,LS10,LS16,Car/Van (Single Occupant),30,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Work from Home,Work from Home,Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol up to 1.4L,No,In a public car park,11.95,1 low,1 low,2,1 low,5 high,1 low,1 low,1 low,1 low,1 low,3,-,Woman,35-44,Working part-time
No,LS1 ,LS16,Cycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Cycle,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Self-charging hybrid,Petrol 1.4-2.0L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
No,LS19,LS29,Car/Van (Single Occupant),15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,3,3,Self-charging hybrid,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,5 high,1 low,4,1 low,1 low,1 low,-,Woman,55-64,Working part-time
No,Ls19,LS14,Car/Van (Single Occupant),30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,3,Fully electric,-,Yes,In the workplace car park,Don't pay (free),1 low,1 low,2,1 low,5 high,1 low,1 low,1 low,1 low,1 low,3,1 low,Woman,45-54,Working full-time
No,Ls16,Ls16,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working full-time
No,LS17,ls21,Car/Van (Single Occupant),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,N/A - Non working day,3,3,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,5 high,1 low,1 low,5 high,1 low,1 low,1 low,1 low,Woman,35-44,Working part-time
No,LS19,Ls28,Car/Van (Single Occupant),30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,25-34,Working full-time
No,LS19,BD10,Car/Van share (driver),10,Pick up/drop off children,Car/Van share (driver),5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,4,4,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),-,-,-,-,4,-,-,2,-,-,-,-,Woman,35-44,Working part-time
No,Ls19,Hg2 ,Car/Van (Single Occupant),35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,3,5 high,5 high,1 low,1 low,1 low,1 low,Woman,55-64,Working full-time
